Rank	Name	City	Country	Continent	Start	End	Party	Visual	Cultural	Tourism	Avg Pulse	Event Types	Best For	Description
138	Birkirkara St Helen Feast	Birkirkara	Malta	Europe	2026-08-14	2026-08-18	4	5	4	3	4	religious_spiritual, carnival_parade, cultural_heritage	Traditional heritage, Street celebrations, Photography	St Helen's Basilica (Maltese: Il-Bażilika ta' Sant' Elena) is an 18th-century Roman Catholic church situated in Birkirkara, Malta. It is built on the baroque design by Salvu Borg and built by Mason Domenico Cachia. The design was inspired by, and is similar to, the Mdina Cathedral by Lorenzo Gafa. It was built to replace the role of the main old Parish Church of St. Mary (still parish church of the area) that was damaged in the 1856 earthquake. It eventually became the Collegiate Church and then a Minor Basilica. The current parish archpriest is Mons Louis Suban.
139	Busójárás — Mohács	Mohacs	Hungary	Europe	2026-02-12	2026-02-17	4	5	5	3	4.25	cultural_heritage, historical, seasonal	Folk festivals, Mask rituals, Shoulder-season travel	The busójárás (Hungarian, meaning "Busó-walking"; in Croatian: Pohod bušara) is an annual celebration of the Šokci living in the town of Mohács, Hungary, held at the end of the Carnival season ("farsang"), ending the day before Ash Wednesday. The celebration features Busós (people wearing traditional masks) and includes folk music, masquerading, parades and dancing. Busójárás lasts six days, usually during February. It starts on a Thursday, followed by the Kisfarsang (Little Farsang) carnival on Friday, with the biggest celebration, farsang vasárnap (Farsang Sunday) on the Sunday before Easter Sunday; the celebration then ends with farsangtemetés (Burial of Farsang) on the following Tuesday (Shrove Tuesday or Mardi Gras). These traditional festivities have been inscribed on the Representative List of the Intangible Cultural Heritage of Humanity of the UNESCO in 2009.…
140	Calcotada Valls	Valls	Spain	Europe	2026-01-26	2026-02-02	3	3	4	3	3.25	food_drink, seasonal, cultural_heritage	Food travel, Local authenticity, Family-friendly	We couldn’t match a solid English Wikipedia entry for “Calcotada Valls” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with Valls, Spain, around your listed dates—double-check schedules with organizers.
141	Carnaval de Dunkerque	Dunkerque	France	Europe	2026-02-14	2026-03-15	5	5	4	3	4.25	carnival_parade, cultural_heritage	Street celebrations, Photography, Traditional heritage	We couldn’t match a solid English Wikipedia entry for “Carnaval de Dunkerque” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with Dunkerque, France, around your listed dates—double-check schedules with organizers.
142	Carnevale di Viareggio	Viareggio	Italy	Europe	2026-02-07	2026-02-25	5	5	4	3	4.25	carnival_parade, cultural_heritage, arts	Street celebrations, Photography, Art and design	We couldn’t match a solid English Wikipedia entry for “Carnevale di Viareggio” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with Viareggio, Italy, around your listed dates—double-check schedules with organizers.
143	Carnival of Binche	Binche	Belgium	Europe	2026-02-15	2026-02-17	4	5	5	3	4.25	carnival_parade, cultural_heritage, historical	Traditional heritage, Photography, Cultural immersion	The Carnival of Binche (French: Carnaval de Binche) is an annual festival held in Binche, Hainaut, Belgium, during the Sunday, Monday, and Tuesday preceding Ash Wednesday. The carnival's history dates back to approximately the 14th century, and it is today one of the best known of several that take place simultaneously in Wallonia, Belgium. Performers known as Gilles wear elaborate costumes in the national colours of red, black and yellow. During the parade, they throw oranges at the crowd. Since 2003, the event has been recognised as a Masterpiece of the Oral and Intangible Heritage of Humanity by UNESCO, and it is also listed as intangible heritage of the French Community of Belgium.
144	Castells Festivals	Tarragona	Spain	Europe	2026-09-23	2026-09-23	2	5	5	3	3.75	cultural_heritage	Traditional heritage, Cultural immersion, Summer travel	Castells festivals in Catalonia center on human-tower performances by colles, especially during major city fiestas such as Santa Tecla in Tarragona and La Mercè in Barcelona. Teams build progressively taller formations in public squares, accompanied by traditional music and strict safety coordination.
145	Day of the Dead Oaxaca	Oaxaca	Mexico	North America	2026-11-01	2026-11-02	4	5	5	3	4.25	religious_spiritual, cultural_heritage, seasonal	Cultural immersion, Traditional heritage, Photography	The Day of the Dead (Spanish: Día de (los) Muertos) is a holiday traditionally celebrated on November 1 and 2, though other days, such as October 31 or November 6, may be included depending on the locality. The multi-day holiday involves family and friends gathering to pay respects and remember friends and family members who have died. These celebrations can take a humorous tone, as celebrants remember amusing events and anecdotes about the departed. It is widely observed in Mexico, where it largely developed, and is also observed in other places, especially by people of Mexican heritage. The observance falls during the Christian period of Allhallowtide.…
146	Dragon Carnival	Ljubljana	Slovenia	Europe	2026-02-21	2026-02-21	4	4	3	3	3.5	carnival_parade	Family-friendly, Street celebrations, Winter travel	Carnival (known as Shrovetide in certain localities) is a festive season that occurs at the close of the Christian pre-Lenten period, consisting of Quinquagesima or Shrove Sunday, Shrove Monday, and Shrove Tuesday or Mardi Gras. Carnival typically involves public celebrations, including events such as parades, public street parties and other entertainments, combining some elements of a circus. Elaborate costumes and masks allow people to set aside their everyday individuality and experience a heightened sense of social unity. Participants often indulge in excessive consumption of alcohol, meat, and other foods that will be forgone during upcoming Lent. Traditionally, butter, milk, and other animal products were not consumed "excessively", rather, their stock was fully consumed during Shrovetide as to reduce waste.…
147	Entroido Verin	Verin	Spain	Europe	2026-02-08	2026-02-17	5	5	4	3	4.25	carnival_parade, cultural_heritage	Street celebrations, Photography, Winter travel	We couldn’t match a solid English Wikipedia entry for “Entroido Verin” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with Verin, Spain, around your listed dates—double-check schedules with organizers.
148	Fallas Denia	Denia	Spain	Europe	2026-03-15	2026-03-19	4	5	4	3	4	seasonal, carnival_parade, cultural_heritage	Photography, Street celebrations, Family-friendly	The Fallas (Valencian: Falles; Spanish: Fallas) is a traditional celebration held annually in the city of Valencia, Spain; it is the patronal festival of the town. The five main days celebrated are from 15 to 19 March, while the Mascletà, a pyrotechnic spectacle of firecracker detonation, takes place every day from 1 to 19 March. The term Fallas refers to both the celebration and the Falla monuments (Falla, singular; Fallas/Falles, plural) burnt during the celebration. The Fallas (Falles in Valencian) festival was added to UNESCO's intangible cultural heritage of humanity list on 30 November 2016. A number of towns in the Valencian Community have similar celebrations inspired by the original Fallas de Valencia festival. For example, the Bonfires of Saint John (Hogueras de San Juan or Fogueres de Sant Joan) in Alicante or the Fiestas de la Magdalena in Castellón de la Plana.…
149	Feast of St George Qormi	Qormi	Malta	Europe	2026-06-22	2026-06-28	4	5	5	3	4.25	religious_spiritual, carnival_parade, cultural_heritage	Traditional heritage, Street celebrations, Cultural immersion	Ħal Qormi’s feast of Saint George (San Ġorġ) is one of Malta’s largest parish festas: weeks of band marches, street lighting, and fireworks build to the main procession. It is a community religious celebration as much as a visitor attraction.
150	Feast of St. Paul's Shipwreck	Valletta	Malta	Europe	2026-02-10	2026-02-10	2	3	5	3	3.25	religious_spiritual	Religious significance, Cultural immersion, Romantic getaway	The Feast of St Paul’s Shipwreck in Valletta honors Malta’s Christian tradition linked to Saint Paul, with church services, processions, and local celebrations centered around the parish church. It is a religious feast day first and a visitor event second.
151	Festa dei Ceri Gubbio	Gubbio	Italy	Europe	2026-05-15	2026-05-15	4	5	5	3	4.25	religious_spiritual, cultural_heritage, historical	Traditional heritage, Adrenaline seekers, Cultural immersion	Ceri (Italian pronunciation: [ˈtʃɛːri]) is a hamlet (frazione) of the comune of Cerveteri, in the Metropolitan City of Rome, Lazio (central Italy). It occupies a fortified plateau of tuff at a short distance from the city of Cerveteri.
152	Festa della Sensa	Venice	Italy	Europe	2026-05-24	2026-05-24	2	4	5	3	3.5	religious_spiritual, historical	Religious significance, Traditional heritage, Cultural immersion	The Fèsta de ƚa Sènsa was a feast of the Republic of Venice held on the occasion of the feast of the Ascension (in the Venetian language, Sensa) and still celebrated as a recreation today. It commemorated two significant dates in the Republic's history; the first being May 9, 1000, when the Doge Pietro II Orseolo rescued the denizens of Dalmatia imperiled by the Slavs. The aforementioned date marked the onset of Venetian extension in the Adriatic. The second event commemorated took place in 1177 when the Doge Sebastiano Ziani, Pope Alexander III and the Holy Roman Emperor, Frederick Barbarossa agreed to the Treaty of Venice which ended the long-standing differences between the Pontificate and the Holy Roman Empire. On the occasion of this festival was held the ceremony of the Marriage of the Sea (It. Sposalizio del Mare).…
153	Festa Frawli	Mgarr	Malta	Europe	2026-04-12	2026-04-12	3	4	4	3	3.5	food_drink, seasonal, cultural_heritage	Food travel, Local authenticity, Family-friendly	Festa Frawli is Mġarr’s annual strawberry fair, spotlighting local growers with stalls, strawberry-themed food and drink, live music, and family activities. It is one of Malta’s best-known village food festivals and draws day-trippers from across the islands.
154	Festa ta' San Ġorġ — Victoria, Gozo	Victoria	Malta	Europe	2026-07-12	2026-07-19	4	5	5	3	4.25	religious_spiritual, carnival_parade, cultural_heritage	Religious significance, Traditional heritage, Photography	Festa ta' San Ġorġ in Victoria (Rabat), Gozo, is a major parish feast centered on St George’s Basilica in the citadel area, with band clubs, fireworks, and a summer procession distinct from Ħal Qormi’s St George celebrations on Malta. Dates shift year to year—confirm with the parish.
155	Festival Interceltique de Lorient	Lorient	France	Europe	2026-08-07	2026-08-16	4	4	5	3	4	music, cultural_heritage	Music lovers, Cultural immersion, Group trips	The Festival interceltique de Lorient (French), Emvod Ar Gelted An Oriant (Breton) or Inter-Celtic Festival of Lorient in English, is an annual Celtic festival, located in the city of Lorient, Brittany, France. It was founded in 1971 by Polig Monjarret. This annual festival takes place in the heart of the city every August and is dedicated to the cultural traditions of the Celtic nations (pays celtes in French), highlighting Celtic music and dance and also including other arts such as painting, photography, theatre, sculpture, traditional artisanry as well as sport and gastronomy. Participants come from Brittany, Ireland, Wales, Scotland, Cornwall, Cumbria, the Isle of Man, Cape Breton Island, Galicia, Asturias, Acadia, and the entire Celtic diaspora.
156	Fête de l'Escalade — Geneva	Geneva	Switzerland	Europe	2026-12-11	2026-12-13	2	3	5	3	3.25	historical, civic_national_holiday	Traditional heritage, Winter travel, Family-friendly	L'Escalade, or Fête de l'Escalade (from escalade, the act of scaling defensive walls), is an annual festival in Geneva, Switzerland, held each December commemorating the defeat of an attempt to conquer the Protestant city-state by the Catholic Duchy of Savoy in 1602. The celebrations and other commemorative activities are usually held on 12 December or the closest weekend. Savoyard troops sent by Charles Emmanuel I, Duke of Savoy attempted a surprise attack during the night of 11–12 December 1602, but were repulsed by the Genevese defenders. According to legend, this was possible thanks to individual acts of bravery by Genevese citizens, notably by local resident Catherine Cheynel (also known as la Mère Royaume), who dumped boiling vegetable soup on the invaders and alerted the townsfolk.
157	Fuji Rock Festival	Yuzawa	Japan	Asia	2026-07-24	2026-07-26	5	4	3	3	3.75	music	Music lovers, Summer travel, Solo travelers	Fuji Rock Festival (フジロックフェスティバル, Fuji Rokku Fesutibaru) is an annual rock festival held in Naeba Ski Resort, in Niigata Prefecture, Japan. The three-day event, organized by Smash Japan, features more than 200 Japanese and international musicians, making it the largest outdoor music event in Japan. In 2005, more than 100,000 people attended the festival. Fuji Rock Festival is named so because the first event in 1997 was held at the base of Mount Fuji. Since 1999 the festival has been held at the Naeba Ski Resort in Yuzawa, Niigata.
158	George Enescu Festival	Bucharest	Romania	Europe	2026-08-28	2026-09-27	2	5	5	3	3.75	music, arts	Music lovers, Cultural immersion, Luxury travel	The George Enescu Festival (also known as George Enescu International Festival and Competition), held in honor of the celebrated Romanian composer George Enescu, is the biggest classical music festival and classical international competition held in Romania and one of the biggest in Eastern Europe. The festival proposal was authored by Andrei Tudor in 1955. Enescu's close associate George Georgescu organized the first festival in 1958; highlights included a performance of Bach's Concerto for Two Violins with Yehudi Menuhin and David Oistrakh as soloists and a staging of Enescu's sole opera, Œdipe, with Constantin Silvestri conducting. The official opening day of the Enescu Festival took place on 4 September 1958, merely three years after George Enescu's death.…
159	Guča Trumpet Festival	Guca	Serbia	Europe	2026-08-07	2026-08-09	5	4	5	3	4.25	music, cultural_heritage, food_drink	Live brass music, Balkan culture, Late-summer trips	The Guča Trumpet Festival (Serbian: Фестивал трубача у Гучи, romanized: Festival trubača u Guči), also known as the Dragačevski Sabor (Serbian: Драгачевски сабор or Dragačevo Fair (Fete, Gathering or Assembly), pronounced [draɡǎːtʃeʋskiː sǎːbor]), is an annual Balkan brass band festival and competition held in the town of Guča, in the Dragačevo region and Lučani municipality of Serbia. The festival takes place from Friday to Sunday in early August and includes an opening concert on Friday night, celebrations on Saturday night and a competition on Sunday. The opening concert on Friday includes previous competition winners, each band getting to play three tunes while folk dancers in traditional dress dance kolos and oros. The song Sa Ovčara i Kablara marks the beginning of the festival each year. Apart from the regular brass orchestras, the competition also includes the children and youth orchestras.…
160	Hadaka Matsuri	Okayama	Japan	Asia	2026-02-14	2026-02-14	4	4	5	3	4	cultural_heritage, religious_spiritual	Cultural immersion, Traditional heritage, Adrenaline seekers	Hadaka Matsuri (Naked Festival) at Saidaiji Temple in Okayama is one of Japan's strangest and most compelling events. Roughly 10,000 men wearing only white loincloths (fundoshi) in near-freezing temperatures compete to catch sacred wooden sticks (shingi) thrown by a priest at midnight. The belief is that whoever catches them will have a year of good fortune. The crush of bodies in the darkness is intense and genuinely chaotic. It has been held for over 500 years.
161	Hay Festival Hay on Wye	Hay-on-Wye	United Kingdom	Europe	2026-05-21	2026-05-31	2	3	5	3	3.25	arts, music	Cultural immersion, Romantic getaway, Art and design	The Hay Festival of Literature & Arts, or simply the Hay Festival (Welsh: Gŵyl Y Gelli), is an annual literature festival held in Hay-on-Wye, Powys, Wales, for 10 days from May to June. Devised by Norman, Rhoda and Peter Florence in 1988, the festival was described by Bill Clinton in 2001 as "The Woodstock of the mind". Tony Benn said: "In my mind it's replaced Christmas". It has become a prominent festival in British culture, and sessions at the festival have been recorded for television and radio programmes such as The Readers' and Writers' Roadshow and The One Show. All the BBC's national radio channels apart from BBC Radio 1 have been involved in broadcasting from the festival, and Sky Arts showed highlights of the festival from 2010 until 2013, handing over the main coverage to the BBC for the 2014 event.
162	Hirosaki Cherry Blossom Festival	Hirosaki	Japan	Asia	2026-04-23	2026-05-06	3	5	4	3	3.75	seasonal, arts	Photography, Romantic getaway, Cultural immersion	Hirosaki Castle Park in Aomori Prefecture contains roughly 2,600 cherry trees and is considered by many to be Japan's finest cherry blossom viewing location. The moats fill with fallen pink petals creating a floating carpet effect (hanaikada) that is genuinely extraordinary. The castle backdrop, the perfectly maintained grounds, and the density of blossoms make Hirosaki a step above even Kyoto for blossom season. A full festival with food stalls and lantern illumination runs during peak bloom.
163	Holi Festival Mathura	Mathura	India	Asia	2026-03-03	2026-03-08	5	5	5	3	4.5	religious_spiritual, seasonal, cultural_heritage	Cultural immersion, Photography, Traditional heritage	Holi (IPA: ['hoːli:, hoːɭiː]) is a major Hindu festival of colours, love, and spring. It celebrates the love between the deities Radha and Krishna. Additionally, the day signifies the triumph of good over evil, as it commemorates the victory of Vishnu as Narasimha over Hiranyakashipu. Holi originated in ancient Indian subcontinent and is predominantly celebrated in the Indian subcontinent, but has also spread to other regions of Asia and parts of the Western world. Holi also celebrates the arrival of spring in India and Nepal, the end of winter, and the blossoming of love. It is also an invocation for a good spring harvest season. It lasts for a night and a day, starting on the evening of the Purnima (full moon day) falling on the Hindu calendar month of Phalguna, which falls around the middle of March in the Gregorian calendar.
164	Holy Week Braga	Braga	Portugal	Europe	2026-03-29	2026-04-05	2	5	5	3	3.75	religious_spiritual	Religious significance, Traditional heritage, Cultural immersion	Holy Week (Koine Greek: Ἁγία καὶ Μεγάλη Ἑβδομάς, romanized: Hagía kaì Megálē Hebdomás, lit. 'Holy and Great Week') commemorates the seven days leading up to Easter. It begins with the commemoration of Christ's triumphal entry into Jerusalem on Palm Sunday, marks the betrayal of Jesus on Spy Wednesday (Holy Wednesday), climaxing with the commemoration of the Last Supper on Maundy Thursday (Holy Thursday) and the Passion of Jesus on Good Friday (Holy Friday). Holy Week concludes with Christ's death and descent into hell on Holy Saturday. For all Christian traditions, it is a moveable observance. In Eastern Christianity, which also calls it Great Week, it is the week following Great Lent and Lazarus Saturday, starting on the evening of Palm Sunday and concluding on the evening of Great Saturday.…
165	Hungry Ghost Festival	Penang	Malaysia	Asia	2026-08-19	2026-09-16	3	4	5	3	3.75	cultural_heritage, religious_spiritual	Cultural immersion, Traditional heritage, Local authenticity	The Hungry Ghost Festival (Zhong Yuan Jie) is a month-long Chinese festival during which the gates of the underworld are believed to open and spirits roam the earth. In Penang — which has the most elaborate Hungry Ghost Festival outside of Taiwan — entire streets burn enormous quantities of joss paper, incense, and elaborate paper offerings. Community stages (getai) host Hokkien opera and live entertainment for the ghosts. Walking through Penang's streets at night during the festival, with braziers burning and opera playing to empty seats reserved for spirits, is genuinely otherworldly.
166	Hwacheon Sancheoneo Ice Festival	Hwacheon	South Korea	Asia	2026-01-10	2026-01-25	4	4	3	3	3.5	seasonal, cultural_heritage	Family-friendly, Winter travel, Adrenaline seekers	Hwacheon Sancheoneo Ice Festival is centred on a single extraordinary activity: ice fishing for mountain trout (sancheoneo) on the frozen Hwacheon River. Hundreds of holes are drilled in the ice and visitors fish, then grill their catch on the riverbank. Snow sleds, ice soccer, and a full winter village of activities surround the main fishing. It is a profoundly Korean winter experience — locals bundled against the cold, grilling fish over gas burners on frozen ice, children on sleds. Around 1 million visitors attend over the festival's run.
167	Infiorata di Noto	Noto	Italy	Europe	2026-05-29	2026-05-31	2	5	5	3	3.75	religious_spiritual, seasonal, cultural_heritage	Photography, Art and design, Romantic getaway	We couldn’t match a solid English Wikipedia entry for “Infiorata di Noto” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with Noto, Italy, around your listed dates—double-check schedules with organizers.
168	Jallikattu Bull Taming Festival	Madurai	India	Asia	2026-01-15	2026-01-15	5	4	5	3	4.25	cultural_heritage, cultural_heritage	Cultural immersion, Adrenaline seekers, Traditional heritage	Jallikattu is the ancient Tamil bull-taming sport of the Pongal harvest festival — a practice documented for over 2,500 years. Zebu bulls are released from a pen and participants must grab and hold the bull's hump for a prescribed distance to win. The bulls are bred for aggression and the event is genuinely dangerous; injuries to both participants and spectators are common. It was banned in 2017, reinstated after mass protests, and remains a symbol of Tamil cultural identity. The Alanganallur version near Madurai is the most famous.
169	Jewish Culture Festival	Krakow	Poland	Europe	2026-06-26	2026-07-04	2	3	5	3	3.25	cultural_heritage, music	Cultural immersion, Music lovers, Traditional heritage	The Jewish Culture Festival in Kraków (Polish: Festiwal Kultury Żydowskiej w Krakowie, Yiddish: ייִדישער קולטור־פֿעסטיוואַל אין קראָקע) is an annual cultural event organized since 1988 in the once Jewish district of Kazimierz (part of Kraków) by the Jewish Culture Festival Society headed by Janusz Makuch, a self-described meshugeneh ("crazy person"), fascinated with all things Jewish. The main goal of the festival is to educate people about Jewish culture, history, and faith (Judaism), which flourished in Poland before the Holocaust, as well as to familiarize them with modern Jewish culture, developing mostly in the United States and Israel, and finally, to provide entertainment. Each festival is held in late June or early July and takes nine days, from Saturday to Sunday. During that time concerts, exhibitions, plays, lectures, workshops, tours, etc. are organized.…
170	Jinju Lantern Festival	Jinju	South Korea	Asia	2026-10-10	2026-10-19	3	5	4	3	3.75	cultural_heritage, arts	Photography, Cultural immersion, Romantic getaway	The Jinju Namgang Yudeung Festival is one of Korea's most beautiful annual events. Thousands of handcrafted lotus and themed lanterns illuminate the Nam River for ten nights, with the Chokseongnu Pavilion providing a historic backdrop. The festival commemorates a battle against Japanese forces in 1592, when lanterns were used to signal troops across the river. Today, lantern processions, traditional performances, and international lantern design competitions fill the riverfront. The reflection of lanterns on the dark water is superb.
171	Juhannus Helsinki	Helsinki	Finland	Europe	2026-06-19	2026-06-20	4	4	4	3	3.75	seasonal, cultural_heritage	Summer travel, Romantic getaway, Traditional heritage	We couldn’t match a solid English Wikipedia entry for “Juhannus Helsinki” automatically. If you send us a short, verifiable blurb (or a Wikipedia/Wikidata link), we’ll drop it in festival-content-manual.ts. For now: this event is associated with Helsinki, Finland, around your listed dates—double-check schedules with organizers.
172	Kaziukas Fair	Vilnius	Lithuania	Europe	2026-03-06	2026-03-08	3	4	4	3	3.5	civic_national_holiday, food_drink	Food travel, Street celebrations, Winter travel	Kaziuko mugė or Saint Casimir's Fair is a large annual folk arts and crafts fair in Lithuania, dating to the beginning of the 17th century. The fair is traditionally held in city's markets and streets on the Sunday nearest to 4 March (Feast of St. Casimir), the anniversary of Saint Casimir's death. In Lithuanian, Kaziukas is a diminutive of Casimir. Today, Saint Casimir's fair also features music, dance, theater performances; it attracts tens of thousands of visitors and many craftsmen from across Lithuania as well as from neighbouring countries such as Latvia, Estonia, and Poland. In recent years, the fair has expanded into other cities in Lithuania, Belarus, Poland.
173	Kirkpinar Oil Wrestling Festival	Edirne	Turkey	Europe	2026-07-01	2026-07-04	4	4	5	3	4	historical, seasonal, cultural_heritage	Traditional heritage, Adrenaline seekers, Photography	Kırkpınar (Turkish for "forty springs") is a Turkish oil wrestling (yağlı güreş) tournament where pehlivans (wrestlers) compete for three days. It is held annually, usually in late June, near Edirne, Turkey since 1360. In the finals held on the last day, the first, second and third winners of each category are determined. During the tournament, also the Kırkpınar Festival is organized. Oil wrestling is a sport at the forefront of traditional Turkish sports. Wrestling was held in all of the fairs organized all over the Ottoman Empire, but the wrestler who won the "chief" title only in Kırkpınar was known as the "chief wrestler" until the next year's Kırkpınar wrestling. This idea continues to this day.
174	Kirkpinar Oil Wrestling Festival	Edirne	Turkey	Asia	2026-06-25	2026-07-05	4	5	5	3	4.25	cultural_heritage, cultural_heritage	Adrenaline seekers, Cultural immersion, Photography	Kirkpinar is the oldest continuously running sporting event in the world — 660 years of unbroken annual oil wrestling in Edirne. Competitors (pehlivan) pour olive oil over their bodies and leather trousers and wrestle without weight classes until one man is pinned. The winner receives a golden belt. The ceremony, the rankings, and the traditions of the wrestlers have been essentially unchanged since the 14th century. UNESCO Intangible Cultural Heritage. The combination of genuine athletic drama, extraordinary history, and the unusual spectacle of oil-slicked wrestling makes this a top-tier global Festivo entry.
175	Kotor Carnival	Kotor	Montenegro	Europe	2026-02-23	2026-02-26	4	4	3	3	3.5	carnival_parade	Street celebrations, Romantic getaway, Winter travel	Kotor Carnival includes winter masquerade parades and cultural events in Montenegro’s old coastal town, blending Adriatic carnival customs with local music and costume traditions. Events are concentrated in and around the historic center.
176	Krakow Wianki Festival	Krakow	Poland	Europe	2026-06-20	2026-06-21	4	4	4	3	3.75	seasonal, cultural_heritage	Summer travel, Romantic getaway, Traditional heritage	Wianki (Wreaths, in English) is a cyclical cultural event, taking place annually in Kraków at the bend of Wisła river, near the Wawel hill.
177	Krampusnacht — Austria	Salzburg	Austria	Europe	2026-12-05	2026-12-05	3	5	4	3	3.75	religious_spiritual, seasonal	Winter travel, Traditional heritage, Cultural immersion	The Krampus (German: [ˈkʁampʊs]) is a horned anthropomorphic figure who, in the Central and Eastern Alpine folkloric tradition, is said to accompany Saint Nicholas on visits to children during the night of 5 December (Krampusnacht; "Krampus Night"), immediately before the Feast of St. Nicholas on 6 December. In this tradition, Saint Nicholas rewards well-behaved children with small gifts, while Krampus punishes badly behaved ones with birch rods. The origin of the figure is unclear; some folklorists and anthropologists have postulated that it may have pre-Christian origins, although historians generally consider this unlikely, as it is not attested until the 16th century. In certain traditional parades and in such events as the Krampuslauf ("Krampus run"), some young men dressed as Krampus attempt to scare the audience with their antics. Krampus is featured on holiday greeting cards called Krampuskarten.…
178	Kurentovanje — Ptuj	Ptuj	Slovenia	Europe	2026-02-14	2026-02-17	4	5	4	3	4	carnival_parade, cultural_heritage	Street celebrations, Winter travel, Traditional heritage	Kurentovanje is Slovenia's most popular and ethnologically significant carnival event first organised in 1960 by Drago Hasl and his associates from cultural and educational organizations. This 11-day rite of spring and fertility highlight event is celebrated on Shrove Sunday in Ptuj, the oldest documented city in the region, and draws around 100,000 participants in total each year. In 2016 proclaimed as the 7th largest carnival in the world by Lonely Planet. Its main figure, known as Kurent or Korent, has been popularly (but incorrectly) reinterpreted as an extravagant god of unrestrained pleasure and hedonism in early Slavic customs. In today's festival, groups of kurents or kurenti wear traditional sheepskin garments while holding wooden clubs with hedgehog skins attached called ježevke, the noise of which is believed to "chase away winter".…
179	Lajkonik Parade	Krakow	Poland	Europe	2026-06-11	2026-06-11	3	4	5	3	3.75	historical, carnival_parade	Traditional heritage, Cultural immersion, Photography	The Lajkonik is one of the unofficial symbols of the city of Kraków, Poland. It is represented as a bearded man resembling a Tatar in a characteristic pointed hat, dressed in Mongol attire, with a wooden horse around his waist (hobby horse). It is the subject of the Lajkonik Festival (Polish: Lajkoniki) that takes place each year on the first Thursday after the religious holiday of Corpus Christi.
180	Lathmar Holi Barsana	Barsana	India	Asia	2026-03-01	2026-03-01	5	5	5	3	4.5	religious_spiritual, cultural_heritage	Cultural immersion, Adrenaline seekers, Photography	Lathmar Holi in Barsana (the village of Radha, consort of Krishna) is perhaps the most extraordinary single day in the Hindu festival calendar. Women from Barsana chase men from the neighbouring village of Nandgaon with wooden sticks (lathis), who must shield themselves while trying to apply colour. The ritual re-enacts the mythology of Krishna teasing Radha. The atmosphere — a dense crowd, clouds of coloured powder, bamboo sticks flying, dhol drums, and devotional singing — is overwhelming in the best way. One day only; one location.
181	Lewes Bonfire Night	Lewes	United Kingdom	Europe	2026-11-05	2026-11-05	4	5	4	3	4	historical, civic_national_holiday, seasonal	Photography, Traditional heritage, Adrenaline seekers	Lewes Bonfire is a set of celebrations held in the town of Lewes in Sussex, England, and the United Kingdom's largest Bonfire Night festivities, with Lewes being called the bonfire capital of the world. Always held on 5 November (unless the 5th falls on a Sunday, in which case it is held on Saturday the 4th), the event not only marks Guy Fawkes Night – the date of the uncovering of the Gunpowder Plot in 1605 – but also commemorates the memory of the seventeen Protestant martyrs from the town burned at the stake for their faith during the Marian Persecutions. Lewes is part of the Sussex bonfire tradition. There are seven societies putting on six separate processions and firework displays throughout Lewes on 5 November. As well as this, 25–30 societies from all around Sussex come to Lewes on the fifth to march the streets.…
182	Līgo — Riga	Riga	Latvia	Europe	2026-06-23	2026-06-24	4	4	5	3	4	seasonal, cultural_heritage	Traditional heritage, Summer travel, Romantic getaway	Līgo (23 June) and Jāņi (24 June) are Latvia’s midsummer celebration: bonfires, singing, folk music, floral wreaths, and feasting—beer, cheese, and grilled food. Riga stages concerts and public events, while many families celebrate in yards and countryside. The holiday marks the summer solstice; English Wikipedia treats the tradition under the title Jāņi.
183	Lopburi Monkey Banquet Festival	Lopburi	Thailand	Asia	2026-11-29	2026-11-29	4	4	3	3	3.5	cultural_heritage, seasonal	Photography, Family-friendly, Local authenticity	The Lopburi Monkey Banquet is exactly what it sounds like — a feast prepared for the 3,000 long-tailed macaques that inhabit the ancient Khmer ruins of Phra Prang Sam Yot in the centre of Lopburi. Two tonnes of fruit, vegetables, and prepared food are laid out on decorated tables beside the ruins as an annual thank-you to the monkeys (who bring tourists and thereby prosperity). The monkeys climb over everything and everyone within reach. The event was started in 1989 by a local hotel owner and has become Lopburi's most famous annual event.
184	Loy Krathong	Sukhothai	Thailand	Asia	2026-11-11	2026-11-12	3	5	5	3	4	cultural_heritage, religious_spiritual	Photography, Romantic getaway, Cultural immersion	Loy Krathong at the ancient ruins of Sukhothai is considered the most atmospheric version of Thailand's festival of light. Thousands of candlelit krathong (lotus-shaped floats) are released onto the moats and lakes surrounding the 13th-century temples, while fire performances, traditional dance, and illuminated ruins create a setting of extraordinary beauty. Sukhothai is the birthplace of the festival and retains its spiritual character better than the tourist-heavy Chiang Mai version. The Historical Park becomes a floating garden of light.
